id,kind,evidence_id,stripe_charge_id,source_staged_payment_id,gross_amount,fee_amount,net_amount,currency,received_date,lifecycle
"pu_ch_3JgY8EAhXr9x8yiR0OdjVYVF","stripe_charge","ch_3JgY8EAhXr9x8yiR0OdjVYVF","ch_3JgY8EAhXr9x8yiR0OdjVYVF","","26.19","1.63","24.56","USD","2021-10-03","received"
"pu_ch_3JiLfrAhXr9x8yiR0YwxIVvM","stripe_charge","ch_3JiLfrAhXr9x8yiR0YwxIVvM","ch_3JiLfrAhXr9x8yiR0YwxIVvM","","25.00","1.33","23.67","USD","2021-10-08","received"
"pu_ch_3JtaW5AhXr9x8yiR11nozNsx","stripe_charge","ch_3JtaW5AhXr9x8yiR11nozNsx","ch_3JtaW5AhXr9x8yiR11nozNsx","","25.00","1.33","23.67","USD","2021-11-08","received"
"pu_ch_3K4WUdAhXr9x8yiR0GgEw5Py","stripe_charge","ch_3K4WUdAhXr9x8yiR0GgEw5Py","ch_3K4WUdAhXr9x8yiR0GgEw5Py","","5000.00","205.30","4794.70","USD","2021-12-08","received"
"pu_ch_3K4Zq5AhXr9x8yiR1k3hoQVV","stripe_charge","ch_3K4Zq5AhXr9x8yiR1k3hoQVV","ch_3K4Zq5AhXr9x8yiR1k3hoQVV","","517.91","21.53","496.38","USD","2021-12-08","received"
"pu_ch_3K4o5GAhXr9x8yiR0Tq3ZwJY","stripe_charge","ch_3K4o5GAhXr9x8yiR0Tq3ZwJY","ch_3K4o5GAhXr9x8yiR0Tq3ZwJY","","100.00","4.40","95.60","USD","2021-12-09","received"
"pu_ch_3K4qTwAhXr9x8yiR0pK6Dgt8","stripe_charge","ch_3K4qTwAhXr9x8yiR0pK6Dgt8","ch_3K4qTwAhXr9x8yiR0pK6Dgt8","","103.83","4.56","99.27","USD","2021-12-09","received"
"pu_ch_3K6ZwYAhXr9x8yiR1InFVHaE","stripe_charge","ch_3K6ZwYAhXr9x8yiR1InFVHaE","ch_3K6ZwYAhXr9x8yiR1InFVHaE","","250.00","10.55","239.45","USD","2021-12-14","received"
"pu_ch_3K6hokAhXr9x8yiR04ht7hoq","stripe_charge","ch_3K6hokAhXr9x8yiR04ht7hoq","ch_3K6hokAhXr9x8yiR04ht7hoq","","5176.29","212.53","4963.76","USD","2021-12-14","received"
"pu_ch_3K6zlWAhXr9x8yiR1df4MVEi","stripe_charge","ch_3K6zlWAhXr9x8yiR1df4MVEi","ch_3K6zlWAhXr9x8yiR1df4MVEi","","250.00","10.55","239.45","USD","2021-12-15","received"
